logL logL_mask dmMass dmMass_mask c0_4 c0_4_mask
-60.88114966614456 1 2109.580208811113 1 2.1045739039627412e-08 1
-59.776109646316804 1 1.140216958537756 1 6.426803607680475e-08 1
-59.76429481234444 1 32.745054946272134 1 7.146575619065951e-08 1
-61.79638872150682 1 5374.42050155949 1 4.645931496537781e-06 1
-61.51323829033575 1 98.87072946540468 1 3.0409555513282774e-07 1
-62.27660881014299 1 54.68342831471129 1 1.1181150137405424e-08 1
-71.95838162026644 1 8.657422730456883 1 7.538353002397734e-06 1
-63.89635497016313 1 2.9053393451524587 1 7.472732963617658e-07 1
-60.88815314994171 1 3.907831480216469 1 4.033512681935457e-08 1
-861.9122248836828 1 3815.651894850611 1 8.215668859590888e-05 1
