1.02816e+1  9.09184e+10
1.08211e+1  1.03614e+11
1.15046e+1  1.22576e+11
1.21271e+1  1.41891e+11
1.28570e+1  1.65427e+11
1.34643e+1  1.85325e+11
1.42962e+1  2.13804e+11
1.50092e+1  2.41239e+11
1.59417e+1  2.72722e+11
1.67788e+1  3.01539e+11
1.77421e+1  3.33401e+11
1.86305e+1  3.64383e+11
1.97330e+1  3.99785e+11
2.09683e+1  4.40324e+11
2.21625e+1  4.87322e+11
2.34616e+1  5.34496e+11
2.47809e+1  5.90879e+11
2.59100e+1  6.32209e+11
2.73886e+1  6.86103e+11
2.87525e+1  7.27599e+11
3.02739e+1  7.70018e+11
3.18430e+1  8.15749e+11
3.39105e+1  8.69107e+11
3.57380e+1  9.16622e+11
3.75657e+1  9.38923e+11
3.94770e+1  9.77794e+11
4.17044e+1  1.01827e+12
4.40528e+1  1.05838e+12
4.72012e+1  1.09114e+12
4.99769e+1  1.11769e+12
5.34759e+1  1.14832e+12
5.57475e+1  1.14488e+12
5.92926e+1  1.16571e+12
6.13329e+1  1.16571e+12
6.69730e+1  1.23049e+12
7.02215e+1  1.23049e+12
7.42949e+1  1.23049e+12
7.78986e+1  1.23049e+12
8.62197e+1  1.16571e+12
9.03145e+1  1.17475e+12
9.73869e+1  1.13460e+12
1.02393e+2  1.15178e+12
1.07912e+2  1.11937e+12
1.13092e+2  1.11721e+12
1.18902e+2  1.09689e+12
1.25657e+2  1.06762e+12
1.32646e+2  1.03214e+12
1.40974e+2  1.00460e+12
1.48927e+2  9.73397e+11
1.57904e+2  9.33498e+11
1.66365e+2  9.17409e+11
1.76739e+2  8.92500e+11
1.87730e+2  8.42656e+11
1.98917e+2  8.16485e+11
2.07939e+2  7.87568e+11
2.18790e+2  7.58535e+11
2.29607e+2  7.36081e+11
2.41811e+2  6.99687e+11
2.54542e+2  6.78721e+11
2.68547e+2  6.40816e+11
2.82844e+2  6.09132e+11
2.96952e+2  5.84917e+11
3.12105e+2  5.64710e+11
3.29909e+2  5.32092e+11
3.47920e+2  5.02133e+11
3.65696e+2  4.79694e+11
3.84413e+2  4.54848e+11
4.06891e+2  4.23637e+11
4.26946e+2  4.02367e+11
4.47315e+2  3.82904e+11
4.72192e+2  3.56584e+11
4.91199e+2  3.38267e+11
5.21448e+2  3.09805e+11
5.51691e+2  2.89552e+11
5.94314e+2  2.66988e+11
6.20800e+2  2.56374e+11
6.61263e+2  2.36395e+11
7.07333e+2  2.13309e+11
7.37964e+2  1.98288e+11
7.83535e+2  1.81780e+11
8.19242e+2  1.70883e+11
8.71420e+2  1.54552e+11
9.14268e+2  1.43337e+11
9.60336e+2  1.33244e+11
9.93821e+2  1.23527e+11

