   34785000.000000000        69570000.000000000       -10160888237530114.       -1.7672324867124249E+023
         140   4869900000.0000000        4835115000.0000000        5.4180621228461793E+018  -6.3089113675668213E+027
         141   4904685000.0000000        4869900000.0000000        5.3327322494499174E+018  -6.1234122762697061E+027
         142   4939470000.0000000        4904685000.0000000        5.2446527193489019E+018  -5.9409770314271541E+027
         143   4974255000.0000000        4939470000.0000000        5.1538950045124690E+018  -5.7616987936951876E+027
         144   5009040000.0000000        4974255000.0000000        5.0623129654393078E+018  -5.5856062371923816E+027
         145   5043825000.0000000        5009040000.0000000        4.9671186010197832E+018  -5.4128250166559087E+027
         146   5078610000.0000000        5043825000.0000000        4.8702973511828716E+018  -5.2434117232950124E+027
         147   5113395000.0000000        5078610000.0000000        4.7773742701723054E+018  -5.0772307593070682E+027
         148   5148180000.0000000        5113395000.0000000        4.6776393386188923E+018  -4.9145190749132099E+027
         149   5182965000.0000000        5148180000.0000000        4.5769084840492355E+018  -4.7553113132955572E+027
         150   5217750000.0000000        5182965000.0000000        4.4801789112990070E+018  -4.5994682898660210E+027
         151   5252535000.0000000        5217750000.0000000        4.3825127031600701E+018  -4.4470225854865978E+027
         152   5287320000.0000000        5252535000.0000000        4.2797166085851244E+018  -4.2981526432569643E+027
         153   5322105000.0000000        5287320000.0000000        4.1809895313797069E+018  -4.1527169224079210E+027
         154   5356890000.0000000        5322105000.0000000        4.0819393361712195E+018  -4.0107266625992053E+027
         155   5391675000.0000000        5356890000.0000000        3.9827522970579942E+018  -3.8721866239460428E+027
         156   5426460000.0000000        5391675000.0000000        3.8798657384303862E+018  -3.7372254942347420E+027
         157   5461245000.0000000        5426460000.0000000        3.7810828484411761E+018  -3.6057005273517154E+027
         158   5496030000.0000000        5461245000.0000000        3.6826542356742804E+018  -3.4775993997637857E+027
         159   5530815000.0000000        5496030000.0000000        3.5847256469558088E+018  -3.3529047181344279E+027
         160   5565600000.0000000        5530815000.0000000        3.4874332997173944E+018  -3.2315943508037585E+027
         161   5600385000.0000000        5565600000.0000000        3.3909040106849828E+018  -3.1136417547920814E+027
         162   5635170000.0000000        5600385000.0000000        3.2980881616993367E+018  -2.9989177580873699E+027
         163   5669955000.0000000        5635170000.0000000        3.2033117941336847E+018  -2.8874905573284297E+027
         164   5704740000.0000000        5669955000.0000000        3.1095745547112566E+018  -2.7793240064427984E+027
         165   5739525000.0000000        5704740000.0000000        3.0182377660683817E+018  -2.6743346057501095E+027
         166   5774310000.0000000        5739525000.0000000        2.9294183471723346E+018  -2.5724347885437196E+027
         167   5809095000.0000000        5774310000.0000000        2.8396441758200463E+018  -2.4736577658878194E+027
         168   5843880000.0000000        5809095000.0000000        2.7512845095985060E+018  -2.3779543342214354E+027
         169   5878665000.0000000        5843880000.0000000        2.6664692649948483E+018  -2.2852012008385896E+027
         170   5913450000.0000000        5878665000.0000000        2.5810143023428168E+018  -2.1954206183315948E+027
         171   5948235000.0000000        5913450000.0000000        2.4990292431370952E+018  -2.1084918861090710E+027
         172   5983019999.9999990        5948235000.0000000        2.4166954753590589E+018  -2.0244271339987085E+027
         173   6017805000.0000000        5983019999.9999990        2.3377457543331584E+018  -1.9431086479342274E+027
         174   6052590000.0000000        6017805000.0000000        2.2588365392147881E+018  -1.8645350189176410E+027
         175   6087375000.0000000        6052590000.0000000        2.1830678914019425E+018  -1.7885970023152245E+027
         176   6122160000.0000000        6087375000.0000000        2.1091205123310474E+018  -1.7152312452937891E+027
         177   6156945000.0000000        6122160000.0000000        2.0350676468670295E+018  -1.6444414171975195E+027
         178   6191730000.0000000        6156945000.0000000        1.9644005643203402E+018  -1.5761097435676365E+027
         179   6226515000.0000000        6191730000.0000000        1.8953441661912151E+018  -1.5101801967466753E+027
         180   6261300000.0000000        6226515000.0000000        1.8279854905474716E+018  -1.4465937214579814E+027
         181   6296085000.0000000        6261300000.0000000        1.7610528938917340E+018  -1.3853354965439574E+027
         182   6330870000.0000000        6296085000.0000000        1.6970559798677988E+018  -1.3263034042842561E+027
         183   6365655000.0000000        6330870000.0000000        1.6346976975376883E+018  -1.2694404448754077E+027
         184   6400440000.0000000        6365655000.0000000        1.5740392516213819E+018  -1.2146874895077579E+027
         185   6435225000.0000000        6400440000.0000000        1.5151767236007081E+018  -1.1619820671773073E+027
         186   6470010000.0000000        6435225000.0000000        1.4577976698572539E+018  -1.1112725752313226E+027
         187   6504795000.0000000        6470010000.0000000        1.4021889362210985E+018  -1.0624974330848718E+027
         188   6539580000.0000000        6504795000.0000000        1.3480505561397220E+018  -1.0156054944895516E+027
         189   6574365000.0000000        6539580000.0000000        1.2956681368114235E+018  -9.7053567835056613E+026
         190   6609150000.0000000        6574365000.0000000        1.2448469128576986E+018  -9.2723367848681111E+026
