   34785000.000000000        69570000.000000000                            NaN                       NaN
           2   69570000.000000000        34785000.000000000                            NaN                       NaN
           3   104355000.00000000        69570000.000000000                            NaN                       NaN
           4   139140000.00000000        104355000.00000000                            NaN                       NaN
           5   173925000.00000000        139140000.00000000                            NaN                       NaN
           6   208710000.00000000        173925000.00000000                            NaN                       NaN
           7   243495000.00000000        208710000.00000000                            NaN                       NaN
           8   278280000.00000000        243495000.00000000                            NaN                       NaN
           9   313065000.00000000        278280000.00000000                            NaN                       NaN
          10   347850000.00000000        313065000.00000000                            NaN                       NaN
          11   382635000.00000000        347850000.00000000                            NaN                       NaN
          12   417420000.00000000        382635000.00000000                            NaN                       NaN
          13   452205000.00000000        417420000.00000000                            NaN                       NaN
          14   486990000.00000000        452205000.00000000                            NaN                       NaN
          15   521775000.00000000        486990000.00000000                            NaN                       NaN
          16   556560000.00000000        521775000.00000000                            NaN                       NaN
          17   591345000.00000000        556560000.00000000                            NaN                       NaN
          18   626130000.00000000        591345000.00000000                            NaN                       NaN
          19   660915000.00000000        626130000.00000000                            NaN                       NaN
          20   695700000.00000000        660915000.00000000                            NaN                       NaN
          21   730485000.00000000        695700000.00000000                            NaN                       NaN
          22   765270000.00000000        730485000.00000000                            NaN                       NaN
          23   800055000.00000000        765270000.00000000                            NaN                       NaN
          24   834840000.00000000        800055000.00000000                            NaN                       NaN
          25   869625000.00000000        834840000.00000000                            NaN                       NaN
          26   904410000.00000000        869625000.00000000                            NaN                       NaN
          27   939195000.00000000        904410000.00000000                            NaN                       NaN
          28   973980000.00000000        939195000.00000000                            NaN                       NaN
          29   1008765000.0000000        973980000.00000000                            NaN                       NaN
          30   1043550000.0000000        1008765000.0000000                            NaN                       NaN
          31   1078335000.0000000        1043550000.0000000                            NaN                       NaN
          32   1113120000.0000000        1078335000.0000000                            NaN                       NaN
          33   1147905000.0000000        1113120000.0000000                            NaN                       NaN
          34   1182690000.0000000        1147905000.0000000                            NaN                       NaN
          35   1217475000.0000000        1182690000.0000000                            NaN                       NaN
          36   1252260000.0000000        1217475000.0000000                            NaN                       NaN
          37   1287045000.0000000        1252260000.0000000                            NaN                       NaN
          38   1321830000.0000000        1287045000.0000000                            NaN                       NaN
          39   1356615000.0000000        1321830000.0000000                            NaN                       NaN
          40   1391400000.0000000        1356615000.0000000                            NaN                       NaN
          41   1426185000.0000000        1391400000.0000000                            NaN                       NaN
          42   1460970000.0000000        1426185000.0000000                            NaN                       NaN
          43   1495754999.9999998        1460970000.0000000                            NaN                       NaN
          44   1530540000.0000000        1495754999.9999998                            NaN                       NaN
          45   1565325000.0000000        1530540000.0000000                            NaN                       NaN
          46   1600110000.0000000        1565325000.0000000                            NaN                       NaN
          47   1634895000.0000000        1600110000.0000000                            NaN                       NaN
          48   1669680000.0000000        1634895000.0000000                            NaN                       NaN
          49   1704465000.0000000        1669680000.0000000                            NaN                       NaN
          50   1739250000.0000000        1704465000.0000000                            NaN                       NaN
          51   1774035000.0000000        1739250000.0000000                            NaN                       NaN
          52   1808820000.0000000        1774035000.0000000                            NaN                       NaN
          53   1843605000.0000000        1808820000.0000000                            NaN                       NaN
          54   1878390000.0000000        1843605000.0000000                            NaN                       NaN
          55   1913175000.0000000        1878390000.0000000                            NaN                       NaN
          56   1947960000.0000000        1913175000.0000000                            NaN                       NaN
          57   1982745000.0000000        1947960000.0000000                            NaN                       NaN
          58   2017530000.0000000        1982745000.0000000                            NaN                       NaN
          59   2052315000.0000000        2017530000.0000000                            NaN                       NaN
          60   2087100000.0000000        2052315000.0000000                            NaN                       NaN
          61   2121885000.0000000        2087100000.0000000                            NaN                       NaN
          62   2156670000.0000000        2121885000.0000000                            NaN                       NaN
          63   2191455000.0000000        2156670000.0000000                            NaN                       NaN
          64   2226240000.0000000        2191455000.0000000                            NaN                       NaN
          65   2261025000.0000000        2226240000.0000000                            NaN                       NaN
          66   2295810000.0000000        2261025000.0000000                            NaN                       NaN
          67   2330595000.0000000        2295810000.0000000                            NaN                       NaN
          68   2365380000.0000000        2330595000.0000000                            NaN                       NaN
          69   2400165000.0000000        2365380000.0000000                            NaN                       NaN
          70   2434950000.0000000        2400165000.0000000                            NaN                       NaN
          71   2469735000.0000000        2434950000.0000000                            NaN                       NaN
          72   2504520000.0000000        2469735000.0000000                            NaN                       NaN
          73   2539305000.0000000        2504520000.0000000                            NaN                       NaN
          74   2574090000.0000000        2539305000.0000000                            NaN                       NaN
          75   2608875000.0000000        2574090000.0000000                            NaN                       NaN
          76   2643660000.0000000        2608875000.0000000                            NaN                       NaN
          77   2678445000.0000000        2643660000.0000000                            NaN                       NaN
          78   2713230000.0000000        2678445000.0000000                            NaN                       NaN
          79   2748015000.0000000        2713230000.0000000                            NaN                       NaN
          80   2782800000.0000000        2748015000.0000000                            NaN                       NaN
          81   2817585000.0000000        2782800000.0000000                            NaN                       NaN
          82   2852370000.0000000        2817585000.0000000                            NaN                       NaN
          83   2887155000.0000000        2852370000.0000000                            NaN                       NaN
          84   2921940000.0000000        2887155000.0000000                            NaN                       NaN
          85   2956725000.0000000        2921940000.0000000                            NaN                       NaN
          86   2991509999.9999995        2956725000.0000000                            NaN                       NaN
          87   3026295000.0000000        2991509999.9999995                            NaN                       NaN
          88   3061080000.0000000        3026295000.0000000                            NaN                       NaN
          89   3095865000.0000000        3061080000.0000000                            NaN                       NaN
          90   3130650000.0000000        3095865000.0000000                            NaN                       NaN
          91   3165435000.0000000        3130650000.0000000                            NaN                       NaN
          92   3200220000.0000000        3165435000.0000000                            NaN                       NaN
          93   3235005000.0000000        3200220000.0000000                            NaN                       NaN
          94   3269790000.0000000        3235005000.0000000                            NaN                       NaN
          95   3304575000.0000000        3269790000.0000000                            NaN                       NaN
          96   3339360000.0000000        3304575000.0000000                            NaN                       NaN
          97   3374145000.0000000        3339360000.0000000                            NaN                       NaN
          98   3408930000.0000000        3374145000.0000000                            NaN                       NaN
          99   3443715000.0000000        3408930000.0000000                            NaN                       NaN
         100   3478500000.0000000        3443715000.0000000                            NaN                       NaN
         101   3513285000.0000000        3478500000.0000000                            NaN                       NaN
         102   3548070000.0000000        3513285000.0000000                            NaN                       NaN
         103   3582855000.0000000        3548070000.0000000                            NaN                       NaN
         104   3617640000.0000000        3582855000.0000000                            NaN                       NaN
         105   3652425000.0000000        3617640000.0000000                            NaN                       NaN
         106   3687210000.0000000        3652425000.0000000                            NaN                       NaN
         107   3721995000.0000000        3687210000.0000000                            NaN                       NaN
         108   3756780000.0000000        3721995000.0000000                            NaN                       NaN
         109   3791565000.0000000        3756780000.0000000                            NaN                       NaN
         110   3826350000.0000000        3791565000.0000000                            NaN                       NaN
         111   3861135000.0000000        3826350000.0000000                            NaN                       NaN
         112   3895920000.0000000        3861135000.0000000                            NaN                       NaN
         113   3930705000.0000000        3895920000.0000000                            NaN                       NaN
         114   3965490000.0000000        3930705000.0000000                            NaN                       NaN
         115   4000275000.0000000        3965490000.0000000                            NaN                       NaN
         116   4035060000.0000000        4000275000.0000000                            NaN                       NaN
         117   4069845000.0000000        4035060000.0000000                            NaN                       NaN
         118   4104630000.0000000        4069845000.0000000                            NaN                       NaN
         119   4139415000.0000000        4104630000.0000000                            NaN                       NaN
         120   4174200000.0000000        4139415000.0000000                            NaN                       NaN
         121   4208985000.0000000        4174200000.0000000                            NaN                       NaN
         122   4243770000.0000000        4208985000.0000000                            NaN                       NaN
         123   4278555000.0000000        4243770000.0000000                            NaN                       NaN
         124   4313340000.0000000        4278555000.0000000                            NaN                       NaN
         125   4348125000.0000000        4313340000.0000000                            NaN                       NaN
         126   4382910000.0000000        4348125000.0000000                            NaN                       NaN
         127   4417695000.0000000        4382910000.0000000                            NaN                       NaN
         128   4452480000.0000000        4417695000.0000000                            NaN                       NaN
         129   4487265000.0000000        4452480000.0000000                            NaN                       NaN
         130   4522050000.0000000        4487265000.0000000                            NaN                       NaN
         131   4556835000.0000000        4522050000.0000000                            NaN                       NaN
         132   4591620000.0000000        4556835000.0000000                            NaN                       NaN
         133   4626405000.0000000        4591620000.0000000                            NaN                       NaN
         134   4661190000.0000000        4626405000.0000000                            NaN                       NaN
         135   4695975000.0000000        4661190000.0000000                            NaN                       NaN
         136   4730760000.0000000        4695975000.0000000                            NaN                       NaN
         137   4765545000.0000000        4730760000.0000000                            NaN                       NaN
         138   4800330000.0000000        4765545000.0000000                            NaN                       NaN
         139   4835115000.0000000        4800330000.0000000                            NaN                       NaN
         140   4869900000.0000000        4835115000.0000000                            NaN                       NaN
         141   4904685000.0000000        4869900000.0000000                            NaN                       NaN
         142   4939470000.0000000        4904685000.0000000                            NaN                       NaN
         143   4974255000.0000000        4939470000.0000000                            NaN                       NaN
         144   5009040000.0000000        4974255000.0000000                            NaN                       NaN
         145   5043825000.0000000        5009040000.0000000                            NaN                       NaN
         146   5078610000.0000000        5043825000.0000000                            NaN                       NaN
         147   5113395000.0000000        5078610000.0000000                            NaN                       NaN
         148   5148180000.0000000        5113395000.0000000                            NaN                       NaN
         149   5182965000.0000000        5148180000.0000000                            NaN                       NaN
         150   5217750000.0000000        5182965000.0000000                            NaN                       NaN
         151   5252535000.0000000        5217750000.0000000                            NaN                       NaN
         152   5287320000.0000000        5252535000.0000000                            NaN                       NaN
         153   5322105000.0000000        5287320000.0000000                            NaN                       NaN
         154   5356890000.0000000        5322105000.0000000                            NaN                       NaN
