0.0000004  0.00150  1.546e+07  1.499e+02  2.329e+17  0.00000  0.36557  0.61949  8.865e-06 7.126e-06 1.620e-06 3.704e-03 2.851e-06 6.018e-03 3.699e-04 1.815e-05 1.225e-03 3.670e-05 7.059e-04 6.225e-05 7.791e-04 6.669e-06 3.973e-04 5.161e-06 4.710e-05 3.848e-06 6.699e-05 4.225e-08 3.185e-06 4.075e-07 1.901e-05 1.390e-05 1.349e-03 3.660e-06 7.792e-05 
0.0130426  0.05150  1.466e+07  1.256e+02  1.980e+17  0.09954  0.43439  0.55071  1.608e-05 6.432e-06 1.462e-06 3.704e-03 2.845e-06 6.231e-03 1.223e-04 1.811e-05 1.223e-03 3.666e-05 7.053e-04 6.219e-05 7.783e-04 6.663e-06 3.969e-04 5.156e-06 4.705e-05 3.844e-06 6.692e-05 4.221e-08 3.182e-06 4.071e-07 1.899e-05 1.388e-05 1.348e-03 3.656e-06 7.785e-05 
0.0783902  0.10150  1.291e+07  8.607e+01  1.340e+17  0.45590  0.56246  0.42275  4.978e-05 4.934e-06 1.122e-06 3.673e-03 2.816e-06 6.270e-03 9.716e-06 1.792e-05 1.211e-03 3.639e-05 7.001e-04 6.174e-05 7.726e-04 6.614e-06 3.940e-04 5.118e-06 4.671e-05 3.816e-06 6.643e-05 4.191e-08 3.159e-06 4.042e-07 1.886e-05 1.378e-05 1.338e-03 3.629e-06 7.728e-05 
0.1958385  0.15150  1.097e+07  5.578e+01  7.959e+16  0.78521  0.65766  0.32766  1.709e-04 3.181e-04 9.172e-05 3.166e-03 2.779e-06 6.198e-03 3.205e-06 1.768e-05 1.196e-03 3.608e-05 6.940e-04 6.120e-05 7.659e-04 6.557e-06 3.906e-04 5.074e-06 4.630e-05 3.783e-06 6.586e-05 4.154e-08 3.131e-06 4.006e-07 1.869e-05 1.366e-05 1.326e-03 3.598e-06 7.661e-05 
0.3416626  0.20150  9.222e+06  3.484e+01  4.321e+16  0.93993  0.70335  0.28202  6.028e-04 2.339e-03 1.315e-04 7.266e-04 2.750e-06 6.136e-03 3.053e-06 1.749e-05 1.184e-03 3.583e-05 6.892e-04 6.078e-05 7.606e-04 6.511e-06 3.879e-04 5.039e-06 4.598e-05 3.757e-06 6.540e-05 4.125e-08 3.110e-06 3.979e-07 1.856e-05 1.357e-05 1.317e-03 3.573e-06 7.608e-05 
0.4887008  0.25150  7.790e+06  2.081e+01  2.202e+16  0.98760  0.71992  0.26396  2.201e-03 2.429e-03 3.097e-05 7.014e-04 2.728e-06 6.090e-03 3.027e-06 1.735e-05 1.175e-03 3.564e-05 6.856e-04 6.046e-05 7.566e-04 6.477e-06 3.858e-04 5.012e-06 4.574e-05 3.737e-06 6.505e-05 4.103e-08 3.093e-06 3.958e-07 1.846e-05 1.350e-05 1.310e-03 3.554e-06 7.567e-05 
0.6173347  0.30150  6.647e+06  1.198e+01  1.084e+16  0.99766  0.72598  0.25781  2.362e-03 2.417e-03 2.874e-05 6.972e-04 2.711e-06 6.055e-03 3.009e-06 1.724e-05 1.168e-03 3.550e-05 6.829e-04 6.022e-05 7.536e-04 6.451e-06 3.843e-04 4.992e-06 4.556e-05 3.722e-06 6.480e-05 4.087e-08 3.081e-06 3.942e-07 1.839e-05 1.344e-05 1.305e-03 3.540e-06 7.537e-05 
0.7198072  0.35150  5.735e+06  6.787e+00  5.308e+15  0.99879  0.72927  0.25621  7.280e-04 2.405e-03 2.856e-05 6.939e-04 2.697e-06 6.027e-03 2.994e-06 1.715e-05 1.163e-03 3.539e-05 6.807e-04 6.003e-05 7.512e-04 6.431e-06 3.831e-04 4.977e-06 4.541e-05 3.711e-06 6.459e-05 4.074e-08 3.071e-06 3.930e-07 1.833e-05 1.340e-05 1.301e-03 3.529e-06 7.514e-05 
0.7971470  0.40150  4.996e+06  3.859e+00  2.631e+15  0.99896  0.73113  0.25486  2.740e-04 2.396e-03 2.843e-05 6.911e-04 2.686e-06 6.003e-03 2.982e-06 1.707e-05 1.159e-03 3.529e-05 6.790e-04 5.987e-05 7.493e-04 6.414e-06 3.821e-04 4.964e-06 4.530e-05 3.701e-06 6.443e-05 4.064e-08 3.063e-06 3.919e-07 1.829e-05 1.337e-05 1.298e-03 3.520e-06 7.494e-05 
0.8539850  0.45150  4.385e+06  2.227e+00  1.334e+15  0.99897  0.73254  0.25361  1.536e-04 2.387e-03 2.832e-05 6.886e-04 2.675e-06 5.982e-03 2.971e-06 1.701e-05 1.155e-03 3.521e-05 6.774e-04 5.974e-05 7.476e-04 6.400e-06 3.812e-04 4.953e-06 4.519e-05 3.693e-06 6.428e-05 4.055e-08 3.056e-06 3.911e-07 1.825e-05 1.334e-05 1.295e-03 3.512e-06 7.478e-05 
