Total,,H,,He3,,He4,,C12,,N14,,O16,,Ne20,,Na23,,Mg24,,Al27,,Si28,,S32,,Ar40,,Ca40,,Fe56,,Ni58,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
27.012293555409464,746738017.3377191,25.9562332694962,246201333.1238351,25.57077900239841,7241086.32814616,,,,,25.242482693214647,488730602.76994145,,,,,25.636451352131377,3281881.834161292,,,35.92930285569527,9107456.607563784,,,,,,,,,,,,
28.392075392817908,734152729.578968,27.24558591680361,229497931.864598,27.183295150715907,6869065.1889668815,,,,,26.531572099129495,494554839.4168752,,,,,26.94560201663494,3339861.648069994,,,37.31822914290501,9011217.203346757,,,,,,,,,,,,
29.842380968051156,718934954.323639,28.663862564624655,212938368.33290178,28.378584747802066,6636059.2759583015,,,,,27.88659132060125,495830133.8180133,,,,,28.225599181387423,3393399.3728356175,,,42.17189610438074,8836558.40177562,,,,,,,,,,,,
31.366812281082936,701546982.024071,30.031326439412478,198415742.4960386,30.16822624152012,6260846.145211936,,,,,29.310791066473627,498133956.6221558,,,,,29.970816278744035,3442619.6074719247,,,44.325879474382106,8764034.4487819,,,,,,,,,,,,
32.96908499133943,686262374.2446727,31.668332919783687,183298737.97985613,31.709560067178646,5980319.9634517,,,,,30.807744398618954,499675782.3547152,,,,,31.860025682267015,3482150.596975891,,,46.0654828538254,8660822.819770724,,,,,,,,,,,,
34.65320645832207,671218572.6679374,33.3470969128778,169103126.20450103,33.32965568898518,5706481.650075974,,,,,32.381213151627485,498647369.19140875,,,,,33.487107319082185,3510966.016140205,,,52.175289480456144,8298368.123318577,,,,,,,,,,,,
36.423348576814654,656854062.2565448,34.987799271985736,156893305.46678433,35.032586494979874,5419998.910971804,,,,,34.03507825994126,496341171.9023145,,,,,35.197290401906656,3538196.9978847145,,,54.70262838563429,8147778.126068408,,,,,,,,,,,,
38.283949909476796,641143662.8314941,36.809182614059615,144705396.78382885,36.82250447255184,5155859.217126921,,,,,35.77340024740788,494554839.4168752,,,,,36.99492100252729,3538196.9978847145,,,56.99281235027398,8000378.725603664,,,,,,,,,,,,
40.23953267066749,628393025.126907,38.65525662556495,133877377.81278233,38.87970054844397,4850161.898902662,,,,,37.60061645223485,488982398.3063184,,,,,38.884361959552876,3538196.9978847145,,,64.26083420190417,7497652.739346774,,,,,,,,,,,,
42.2951364890835,611014962.1172657,40.64916535738424,123337570.65397614,41.0517849874953,4575140.614337496,,,,,39.521154573159095,483721831.8485916,,,,,41.05579581853008,3538196.9978847145,,,67.54355398842277,7288232.988601808,,,,,,,,,,,,
