Total,,H,,He3,,He4,,C12,,N14,,O16,,Ne20,,Na23,,Mg24,,Al27,,Si28,,S32,,Ar40,,Ca40,,Fe56,,Ni58,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
10.233875135665347,4.874372255743102e+21,10.292923966356133,76576193249358200000,10.247342075243273,1990928945467536600,10.281087006276776,1.8008601561990077e+21,10.18688006710269,130104417233158110000,10.328516679108487,180108233334659020000,10.715916494800357,929558628686649100000,10.047185740759375,293233989280256520000,10.281087006276776,7537870351168489000,10.281087006276776,148974665711438560000,10.328516679108487,15316090547889060000,10.233875135665347,200097842433191480000,10.759160254534436,164850984327633200000,10.328516679108487,32044632351345148000,10.328516679108487,29180273159355120000,10.328516679108487,803038292648303900000,10.281087006276776,47707376999793710000
10.765352163726222,4.833790297629187e+21,10.864908737455881,72465270100233360000,12.140100484277351,1778745040759587600,10.815015893906889,1.7547863122981135e+21,10.715916494800357,130540236972867270000,10.864908737455881,180108233334659020000,11.272427432847357,918741944145283900000,10.715916494800357,300882855667914600000,10.815015893906889,7639379474743725000,10.815015893906889,151233504857383400000,10.864908737455881,15574341749975890000,11.117846820715595,205542478511707850000,11.230997010271368,174242964629060100000,10.864908737455881,32367738615002382000,10.864908737455881,29474498068214810000,10.864908737455881,808427289011438700000,10.815015893906889,48349830876248580000
11.324430450119046,4.801568131593742e+21,11.429157306974925,68174888510551360000,12.734703749604545,1721523270990573800,11.35574734425349,1.7016199634625393e+21,11.272427432847357,130431145363411090000,11.429157306974925,180108233334659020000,11.857839718186138,917207012691962900000,13.613606595282125,307032387777619200000,11.376673372577216,7684218487086873000,11.220663219091417,151233504857383400000,11.24651554418645,15600405164980370000,12.705430531599358,207614964834116140000,12.672983647747085,176284565003094720000,11.24651554418645,32783057978024956000,11.24651554418645,29971480280041150000,11.24651554418645,821371541008362500000,11.220663219091417,48706860856155370000
11.91254341420399,4.777542543937227e+21,12.133893509561217,63977857347203810000,14.508580789208207,1555890964484135000,11.92168520090789,1.6624343306894167e+21,11.857839718186138,129345230911215420000,12.022709063101209,180108233334659020000,12.473654287848078,917207012691962900000,14.721594390887475,307032387777619200000,11.96749947443228,7768190343704143000,12.705430531599358,154040872435321200000,12.705430531599358,16036803454739425000,13.365263133585602,206748901331977140000,13.365263133585602,168879032549490100000,12.705430531599358,33468473791853396000,12.705430531599358,30604508688542270000,12.705430531599358,821371541008362500000,12.705430531599358,49247355189585740000
12.531198917275619,4.7061846782986635e+21,12.76404441288758,60189981845875950000,15.168681495772223,1508918921372832300,12.672057812498275,1.6030932412830916e+21,12.473654287848078,129345230911215420000,14.721594390887475,176088165912598120000,13.121450027202021,917207012691962900000,18.151216589406136,301436776968639740000,12.589009016973508,7826861652454043000,13.365263133585602,154040872435321200000,13.365263133585602,16036803454739425000,13.898513054307918,206748901331977140000,15.344231214730426,175207074246404500000,13.365263133585602,33468473791853396000,13.365263133585602,30809888167364354000,13.365263133585602,821371541008362500000,13.365263133585602,49247355189585740000
13.181983128564548,4.6709064241841e+21,13.585786552085361,56243673729283600000,17.136385775958303,1358734412862804000,13.242795486895846,1.564880140725457e+21,13.121450027202021,128375639992773720000,15.168681495772223,176825792727894330000,13.802887818054375,917207012691962900000,20.17149722067739,294779026923643440000,13.242795486895846,7826861652454043000,13.898513054307918,154040872435321200000,13.898513054307918,16036803454739425000,15.701449165321007,207094892353852400000,16.901391759030357,168879032549490100000,13.898513054307918,33468473791853396000,13.898513054307918,30809888167364354000,13.898513054307918,821371541008362500000,13.898513054307918,49247355189585740000
13.866564592012567,4.62427977718346e+21,14.254841839891396,53051517461142045000,17.91997160331884,1317945332783053600,13.93053512562418,1.514679047213487e+21,13.802887818054375,127094148756205040000,17.943552814895185,169870260835769120000,14.519714796979628,926455217746144800000,21.90088692746903,288950830271820600000,13.93053512562418,7826861652454043000,15.773884560181516,154040872435321200000,15.773884560181516,16036803454739425000,16.51687435157829,206748901331977140000,17.454801457118702,175207074246404500000,15.701449165321007,33468473791853396000,15.773884560181516,30809888167364354000,15.773884560181516,816578667311782400000,15.701449165321007,48633618148580920000
14.586698504248135,4.566650453206504e+21,14.916469685439116,50227484976315320000,18.44598968438117,1290530603620687000,14.640507892895185,1.463394307108742e+21,14.519714796979628,125930689261369640000,18.65946824584358,166820888782669640000,15.151237368339743,925680985270881200000,22.953593910893808,283163452524006600000,14.653991227024335,7826861652454043000,16.593071542227456,154040872435321200000,16.593071542227456,16036803454739425000,17.17586788208552,206748901331977140000,19.354393985437728,168706555019761120000,16.51687435157829,33468473791853396000,16.593071542227456,30681365063704370000,16.593071542227456,806402190359982500000,16.51687435157829,48309425243552200000
15.344231214730426,4.483424058682646e+21,16.32790869993301,44796590029043335000,20.380362742963666,1173538169627293400,15.45764777855599,1.4157385132867563e+21,15.273768834799245,124673604391431830000,22.27705153302254,159679360997370130000,16.066983248693912,901998035170294100000,24.312924558831504,277491989795938500000,15.415018658307595,7826861652454043000,17.21544095469334,154040872435321200000,17.21544095469334,16036803454739425000,19.493463519032368,201459364232796500000,20.41165487122265,164971623109338700000,17.17586788208552,33417214448510910000,17.21544095469334,30471746760501450000,17.21544095469334,800491118433758100000,17.17586788208552,47468663784327900000
16.14110495959986,4.4164591769180297e+21,17.294860838178057,41803968944424430000,21.302943859022438,1134625761780802400,16.21556861571995,1.3666606854026685e+21,16.066983248693912,123222856684164190000,23.148101706479544,155941343435995220000,16.901391759030357,907292274207143800000,25.051295333332508,272434747500601180000,16.21556861571995,7826861652454043000,19.493463519032368,151233504857383400000,19.448653964095804,15600405164980370000,20.178129957138008,207701770469014540000,21.27494777421578,168657308088002200000,19.493463519032368,32394810743289910000,19.493463519032368,29548516674567848000,19.448653964095804,761708927744377600000,19.493463519032368,44995525327746154000
