Total,,H,,He3,,He4,,C12,,N14,,O16,,Ne20,,Na23,,Mg24,,Al27,,Si28,,S32,,Ar40,,Ca40,,Fe56,,Ni58,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
10.568401986431123,151756809212690.62,10.602473989869607,2512344597.3312736,10.617109882897758,39677165.64457388,,,11.855886347315968,740936992894.6115,10.576504423628668,823851642415.5924,10.617109882897758,45675900218.80713,10.690592962137291,685561845152.569,10.715200168700314,111173978512.66219,10.617109882897758,2212008369790.724,10.715200168700314,624859985644.7943,10.597599843759815,7559013733107.425,10.563985091754626,5696231315926.751,10.617109882897758,536964725638.69415,10.617109882897758,10506292842.844116,10.617109882897758,124971674234376.61,10.568401986431123,8931451855530.691
11.116707877707654,177930249106575.2,11.182624697609123,2401118660.738848,11.167942819097318,39677165.64457388,,,12.42805469328372,806069484047.2275,11.14229589962714,925813519881.981,11.167942819097318,51320286795.395966,11.934022920736979,906692971361.3629,11.30356082248824,129371944376.54663,11.167942819097318,2554812786010.8804,11.271122188533477,728967029930.1149,11.219413893274501,8834998228675.475,11.097555431408548,6616196786873.538,11.167942819097318,632737807616.8997,11.167942819097318,12364695429.0808,11.1743637675872,155047947154788.16,11.116707877707654,10603878246629.047
11.693460770791512,210455430472790.8,11.855886347315968,2287026390.878079,11.844988128760084,38811851.03519077,,,13.239199992353203,897490092046.575,11.765373368775634,1044544812957.0908,11.747353864306655,58097263454.24315,14.403670965145013,1406933021117.1536,11.819597894742138,146008005177.26126,11.533260423755298,2757716472949.045,12.761033172059292,1052279871176.7859,11.559807250727156,9664976625840.621,11.480349522310462,7336640666913.289,11.506774560950662,680854088941.3698,11.506774560950662,13313300701.367249,11.07843598194657,143977851639909.2,11.480349522310462,11775744085680.006
12.300136542423582,246135084106192.03,12.470989022146519,2158948337.88047,12.356825697321648,38598487.29368613,,,13.816727870706025,969462720579.5171,12.356825697321648,1147293814129.6914,12.356825697321648,64950306847.485344,17.445403984204226,2064718628350.6194,12.493947945629008,169025627870.45078,12.81984651804575,3720413463014.6094,13.423096336953929,1210796778467.0737,12.778648788623249,12873377647394.059,12.680605128708727,9883863118717.86,12.7024896428496,945980448504.1984,12.761033172059292,18742476554.497032,11.747353864306655,180738688000739.38,12.7024896428496,16378340358125.506
12.938287640231518,286783781600164.94,13.118004224602597,2043156051.2206178,13.044486965764094,37664305.88792957,,,14.66879969138332,1061150004983.8593,13.009876915428155,1288747363248.5615,12.997917920726625,72520807445.90846,22.06871516347847,3143466265286.6704,13.124708122311805,191756541063.38464,13.484961015027439,4243482851597.5645,13.942089272434668,1301240027928.288,13.423096336953929,14872146203263.36,13.343096364533523,11247027723276.668,13.361515474190584,1091215103694.8633,13.423096336953929,21592905154.38705,12.59344346099035,227276592250492.94,13.361515474190584,18987794738957.22
13.60954705535194,332475175165372.5,13.926071229926825,1936907913.959229,13.623460806696981,37434314.88532121,,,15.40857055091911,1153057806321.0771,13.637388782797311,1410168315395.3967,13.672271051825671,80568935608.13882,23.02321567027951,3329254883901.358,13.773231294508008,216315302591.39618,13.958125739211741,4576199017302.849,17.088131769051504,2093370279774.9822,13.926071229926825,15990399333627.902,13.86218287960025,12428831661560.666,13.83034870084837,1206254469428.91,13.86218287960025,23641125936.39259,13.178462787064658,249238192671669.34,13.83034870084837,21055393535636.36
14.31563250115873,386413307106354.6,14.655315774592461,1845063091.335113,14.381610720629956,36528309.40803327,,,16.20799226293066,1239964613868.881,14.484848431867029,1569720523679.666,14.381610720629956,89398146477.7583,24.74298713046012,3696022829297.9224,14.64857846493824,249744726351.59012,15.622600084536932,6049294908702.614,20.712630353557085,3065038808133.3735,15.458247017566308,21318175009025.9,15.471679195817458,16953644218974.262,15.40857055091911,1629388461517.9873,15.479585928651392,31960723031.067486,13.703741373364373,279628711099781.28,15.40857055091911,28530496648152.664
15.05835080879058,441846615194769.25,15.40857055091911,1733897856.701134,15.244132404140206,35698854.12465812,,,17.048889274128697,1326756042305.1365,15.069895538247643,1698520742731.533,15.12775208564346,97592402766.32794,26.066616436365635,3946065051612.5137,15.33788096897346,278941914190.77673,16.433125997007593,6720626384881.746,22.882492617903413,3583174796221.2896,16.282692034011323,24080943897387.37,16.274375087012633,19163050625067.668,16.20799226293066,1844553423785.754,16.282692034011323,36317464318.44643,15.479585928651392,393250762376183.9,16.20799226293066,32623367627301.508
15.83960255072557,503967785638579.3,16.12304063515951,1642077749.0860827,15.69460188655338,35535237.0473225,,,17.933413390520943,1430334122486.7686,16.52405268004737,2076131927746.1965,15.912604478746855,108151560911.61893,27.41899491099739,4188900181689.573,16.20799226293066,314493758288.4802,17.009736898677613,7286259923128.88,25.17655516881781,4260055224955.776,16.89281842195737,26358565054656.32,16.89281842195737,20910806055458.582,16.815319586605597,2014130266852.8855,16.854024459567864,39547114424.57022,16.068852635851986,449594529472148.94,16.776703598478804,35181248068661.902
16.66138690423449,573384312390752.6,17.127464590879665,1535483387.9236906,16.508863369669335,34569162.725381784,,,18.9507681060687,1524708989640.9736,17.728438672309256,2242703928928.303,16.73817629106553,117769294603.40189,29.242154331885974,4508384632097.61,16.970674435740982,346561512049.9105,19.03810884614074,9204085230921.66,28.89684835423763,5180497938120.298,18.88552560536377,33008804391537.848,18.863828057312077,26983393475923.74,18.863828057312077,2652664306128.8423,18.863828057312077,51449041575.92031,16.699737460712583,479184174138943.56,18.77728686162754,46042430289579.86
17.52580676715781,645856418501976.9,18.016065322557623,1444055466.7156854,17.89222972612524,32715092.236683458,,,20.025836910658448,1621243351778.0957,18.3504999289383,2402690513677.8267,17.60658011232438,128886605001.12277,30.782866985385965,4759514570792.396,18.0990981827378,395533823536.4088,20.025836910658448,10098213677966.377,30.221854694527813,5455265884603.767,19.933964790876278,37443856292240.46,19.96148208321624,30420588725783.977,19.84251415092693,2954442235330.64,19.84251415092693,57087125704.559975,17.365370063442988,555703496551743.7,19.751483057196054,51280405270471.86
18.43507413909773,722945598281429.5,18.90724811036428,1355012291.9536018,19.03810884614074,31587346.948606316,,,21.064809914330606,1723889623228.1067,19.888186906981787,2521424431110.2373,18.520038136840693,139471840062.42206,32.08351620951266,4987837152429.518,19.081930052186586,438809986155.651,20.776222136539708,10821295768095.127,31.643972217220444,5966499098156.428,20.680907489902733,40705620150891.266,20.61760744563392,32203742859448.92,20.58603011630817,3165201719439.703,20.58603011630817,60625497758.75411,18.210404253455675,646666088661713.8,20.491588009687483,54718753545623.76
19.391515781794954,804182689219745.2,20.056554948258647,1269054836.5490572,20.025836910658448,30690127.141867705,,,22.005382999014348,1811347122215.108,20.88397630160323,2729359417970.9307,19.48088784998876,150171959897.76697,34.21683163637186,5234321433801.382,20.025836910658448,481513469520.3377,23.414682415156783,13137328043267.662,35.09322069540147,6451126941604.21,23.14705807473982,49961333487160.05,23.083284719526443,40743035981845.695,22.987953981197727,3955965127613.2563,23.09390139727195,76919360340.43327,19.03810884614074,643433485521570.5,22.987953981197727,67216915551250.07
20.39757917317534,891192455886812.9,21.161893899375258,1180273439.1006675,21.045446629666813,29870739.50683704,,,23.307263358609795,1900858583814.5942,21.95484815165454,2922943124060.6084,20.491588009687483,163117259588.35757,36.778372455512056,5538595115059.086,21.011066950657806,524406635800.79596,24.629474237712614,14305608200083.838,39.00802432348673,7438449634066.389,24.539038986097058,54193421535336.3,24.333974423703445,44239970205670.65,24.18060643825487,4302368740366.9995,24.292050578665794,83445443016.16216,20.025836910658448,712157959813176.4,24.18060643825487,72919812015202.56
21.45583877030183,978992879426280,22.259807388140512,1101683243.8519049,22.128595284155733,28955866.978027575,,,24.516482105726624,1983578760185.8823,23.09390139727195,3102384911749.424,21.554724938217337,173879898514.60025,38.96320807109076,5824323887787.826,22.259807388140512,573830241798.3907,25.552361689141243,15063418375920.002,48.196489771022115,8537568601653.559,25.435135645391085,57660694922242.8,25.26030417489004,47805894844959.61,25.1444179973863,4560459560618.319,25.202294477181187,88196663903.04228,20.808091205264656,808054148244049.6,25.08667442957355,77013810039474.19
22.56900259725887,1066053045004178.8,23.49857272794224,1028898844.748499,22.777515077534662,28503380.438931312,,,25.78843708900647,2077693167178.8696,24.269720736035612,3258143938616.659,22.673019140466998,184657315771.0621,40.822720971946744,5993971016890.668,23.36091114465076,624234013297.13,28.797364120217683,17812507770614.254,54.06797600985055,9250326459407.74,28.63597499153286,68406296571534.03,28.40284039313506,57090426738067.24,28.272537266909005,5438206001668.6045,28.40284039313506,104816611228.03471,23.09390139727195,925325891026828.2,28.35390649279731,88423971797126.5
23.739919174826632,1157950201857167,24.629474237712614,965885173.9818318,25.048252406929098,26001307.236290157,,,27.12638316646177,2159975033261.7273,25.53930993839781,3411829829443.1553,23.849332265545403,198326442724.556,43.50933273863761,6261345982200.848,24.714559954885342,679682209865.0498,30.08320651383394,18663498484961.03,56.87311058115676,9343507029883.494,30.014121133709512,73777489539712.98,29.807815454559194,60593566120869.914,29.739362503561118,5818853692527.076,29.876425967996607,111592618675.41805,23.603858411595738,1026085496085012.9,29.876425967996607,93449879075704.81
24.97158480967839,1243666645036880,25.847795947830665,896164829.9646312,26.400348628816126,25109191.68759397,,,28.571255803117992,2247123643708.5933,26.89042179650918,3607950608949.3174,25.08667442957355,210092015895.72174,44.470101083359,6392128090602.722,25.907291436653388,728967029930.1149,31.498799817240652,19563313471312.316,59.14000829200817,9380649786008.395,31.210449975159705,77974979558308.52,31.18654030702152,64440708659306.17,30.9247397775068,6105129435784.001,31.210449975159705,116667870426.8348,24.629474237712614,1019039362462537.6,31.28228902021394,94351809029036.45
